Biomass,Coal,Gas,Oil,Geothermal,Hydro,Marine,Unknown,Solar,Nuclear,Waste,Wind
283.0,0.0,3169.0,0.0,0.0,172.0,0.0,776.0,0.0,4992.0,261.0,1917.0
284.0,0.0,3949.0,0.0,0.0,210.0,0.0,825.0,0.0,4989.0,260.0,1999.0
283.0,0.0,4091.0,0.0,0.0,233.0,0.0,844.0,1.0,4989.0,253.0,2094.0
287.0,0.0,4067.0,0.0,0.0,179.0,0.0,853.0,42.0,4991.0,246.0,2470.0
290.0,0.0,4253.0,0.0,0.0,154.0,0.0,850.0,133.0,4985.0,255.0,2535.0
291.0,0.0,4192.0,0.0,0.0,88.0,0.0,861.0,245.0,4984.0,257.0,2606.0
290.0,0.0,3614.0,0.0,0.0,37.0,0.0,858.0,273.0,4985.0,264.0,2952.0
293.0,0.0,2996.0,0.0,0.0,37.0,0.0,831.0,328.0,4985.0,258.0,3077.0
294.0,0.0,3123.0,0.0,0.0,38.0,0.0,809.0,248.0,4984.0,254.0,3126.0
299.0,0.0,3320.0,0.0,0.0,38.0,0.0,817.0,121.0,4982.0,258.0,3164.0
300.0,0.0,3392.0,0.0,0.0,204.0,0.0,839.0,23.0,4981.0,255.0,3186.0
294.0,0.0,3214.0,0.0,0.0,924.0,0.0,851.0,0.0,4978.0,255.0,3106.0
295.0,0.0,3084.0,0.0,0.0,756.0,0.0,794.0,0.0,4976.0,261.0,3262.0
290.0,0.0,2635.0,0.0,0.0,406.0,0.0,716.0,0.0,4975.0,261.0,3397.0
294.0,0.0,2560.0,0.0,0.0,123.0,0.0,697.0,0.0,4974.0,263.0,3432.0
293.0,0.0,2310.0,0.0,0.0,124.0,0.0,692.0,0.0,4978.0,267.0,3453.0
291.0,0.0,2232.0,0.0,0.0,68.0,0.0,695.0,0.0,4978.0,268.0,3427.0
291.0,0.0,2127.0,0.0,0.0,104.0,0.0,731.0,0.0,4978.0,264.0,3397.0
292.0,0.0,2031.0,0.0,0.0,103.0,0.0,713.0,0.0,4979.0,268.0,3449.0
290.0,0.0,2134.0,0.0,0.0,103.0,0.0,724.0,0.0,4979.0,266.0,3529.0
293.0,0.0,2043.0,0.0,0.0,104.0,0.0,736.0,0.0,4979.0,270.0,3562.0
290.0,0.0,2018.0,0.0,0.0,104.0,0.0,744.0,0.0,4977.0,268.0,3582.0
291.0,0.0,1912.0,0.0,0.0,104.0,0.0,728.0,0.0,4978.0,267.0,3656.0
290.0,0.0,1990.0,0.0,0.0,105.0,0.0,708.0,0.0,4978.0,266.0,3677.0
294.0,0.0,2332.0,0.0,0.0,107.0,0.0,733.0,0.0,4974.0,265.0,3660.0
292.0,0.0,3073.0,0.0,0.0,108.0,0.0,745.0,0.0,4970.0,264.0,3128.0
289.0,0.0,4160.0,0.0,0.0,202.0,0.0,763.0,0.0,4971.0,265.0,2624.0
