MTU,BE,BG,CH,CZ,DK,EE,ES,FI,FR,HU,IE,IT,LT,LV,ME,MK,NL,NO,PL,PT,RO,RS,SE,SI,SK
2023-12-14 02:00:00,191.84609415765203,258.9200667798693,26.29109184732748,420.198409730552,346.97899120059304,196.29570781016727,158.26058333986995,160.9847110468056,57.256006140655394,141.5666475817521,661.9004957507082,135.67429110511074,923.8631768321198,98.41921429157658,238.76226044240357,419.1961252107499,318.3055668123645,15.51400825267378,517.346572125335,383.0961124771822,191.2766041165516,299.99061998875703,7.428194080720331,103.3737179014226,174.40053044770548
2023-12-14 03:00:00,183.78115330009976,258.71052811976654,26.272507887095177,388.7447590903554,356.23115343743234,197.08643990310557,173.86174478102944,160.66074165628095,65.14812519529879,136.46345717861868,792.0930810810811,133.79687090166308,918.8783083928791,93.77762236190688,242.2961937936332,417.8610184180044,315.2492674704326,15.765432395456916,517.7079565400533,424.6941853393221,194.22682758068956,305.4632507225211,7.606834221183885,104.01155978176646,174.16742519201117
2023-12-14 04:00:00,134.12638849735868,257.3210020607887,26.35484084928484,347.06481676239764,371.1607843703117,174.08166190924132,176.39867068648036,157.62376369531245,71.35503923948721,145.01600462815117,786.099477124183,95.99086108428456,855.4295668026698,92.5778801043773,243.1111013566584,418.81096684015534,290.9829958888524,15.557916523513429,517.2005848203833,425.1075241269261,198.6875926452368,313.9957192543948,7.477107031430081,114.9648473975014,148.74921094436212
2023-12-14 05:00:00,80.89345288908417,258.08471535869137,25.98299528063029,335.5375156806487,375.1126206572041,169.24323877966552,176.24889583838942,156.7967430150798,74.31144625637141,151.17305316413535,787.1023102310231,88.95077649746847,348.0994227881071,92.98777637105503,238.5247867243138,346.7970353495272,268.21570846776285,15.512695749666175,514.5009949930776,337.8915640204152,195.96704459205617,302.549715600237,7.247668403672329,132.617275089334,85.27486187818455
2023-12-14 06:00:00,94.42008567276292,264.3491528461477,22.98159630744544,329.17323760139783,413.0528904634768,158.0074261827328,156.2078590857983,154.4255924762973,59.06190833226073,144.23090967185422,779.1090233074361,86.28650064769433,166.9190970573325,95.35317863497173,213.94421271502,306.7790513204891,240.2005778389659,15.411097445544335,499.1451014023873,206.96542954201607,183.89276495843075,303.5130168320949,6.76176273314877,149.07330969944954,87.30453813951968
2023-12-14 07:00:00,72.69200956335271,264.28719528544883,18.138656969159936,314.0159710153509,413.898383433508,157.31871448508335,95.3800612736637,154.04239993825163,37.74955656742107,141.5754827036818,699.3326034712951,76.48993577311033,139.15357495500413,80.93602373034157,194.70765640348947,280.1226102661679,224.84186686063637,15.30037121574614,495.0472467362995,103.8095731324256,177.91717098489153,283.5317092163075,6.70626166776135,141.6413255072482,78.08973023495143
2023-12-14 08:00:00,69.96544960070261,282.7714048904294,17.66168691602079,297.10761401266177,412.6149134128433,159.26202200286983,85.3420728784487,153.55490192824325,39.27120873445574,157.8453116389392,5.13,72.85773648389942,147.95758523188363,79.98955851798685,164.9683222161449,270.30425019399786,230.14304878808423,15.543450232022389,488.8722523999038,97.65995222768476,180.3620555110683,269.46127785484583,6.654719653895076,142.29304856928803,75.06500274239514
2023-12-14 09:00:00,79.6912114506129,286.13888187450067,19.188655640133145,301.3909009671464,418.2063598704743,157.6275915832666,132.64939889969637,152.4793261088584,39.280132099358745,188.7084167634877,5.13,83.32116895058014,161.6684131778823,79.77507584907733,155.8231619000847,276.4723512930576,229.0460793772564,15.445181772737389,489.1681130980831,136.33546663159072,182.69906918457025,273.3316861415069,6.580540908768659,142.69939818698805,76.97431253058306
2023-12-14 10:00:00,103.1023913121844,302.9958873012616,22.12286013657108,308.99358830779863,428.21605813883394,157.3738718448104,255.41722115957785,151.1157996379198,48.4238971080373,212.4190590206962,5.13,95.81030105290466,145.18786447958718,74.75583122645847,153.39159350424092,275.32413929566326,231.86747028293297,15.3178851104414,494.5422811788374,235.5809787746817,188.594206251696,276.92409945500464,6.525479495068432,143.93151756400266,83.98848554299026
2023-12-14 11:00:00,107.66666885170808,306.2429774552076,25.726325722927896,310.89291148594083,441.2711241405603,154.97177898239514,305.65010352578525,150.50141834698866,64.08070093597773,226.2445470996477,5.13,111.59147988115274,147.24204954251368,73.96252587635993,149.86838134453274,275.5331817118817,237.6375848523421,15.31280440637691,496.9054252561089,470.6817975022745,199.76217752534737,275.6628811231258,6.35384084343263,155.67274715684576,87.13947409067558
2023-12-14 12:00:00,109.57266546932472,296.0552124359948,23.111842652522103,322.92653547460867,449.8639125048885,152.37374414555364,312.78413354512367,149.77596575146535,75.10983840462913,231.7110609236571,5.13,123.09904431920516,147.57118535312338,75.16229434274588,158.37671038427436,275.3428751985261,237.8577150967497,15.376188793862068,491.5006412027523,521.1986697091834,214.5211530303968,281.0055862760923,6.340717040399295,164.60584787435346,87.52965711604045
2023-12-14 13:00:00,101.81249880246654,277.48878587855427,22.2589387880656,315.02657108580667,431.2627727252568,151.50901042825643,319.7454464684481,147.2281193480767,78.45536286983653,219.69241381092533,5.13,122.7294238389622,148.36001665990506,86.12508110101699,152.642576085349,265.51350754936124,232.7234745536216,15.451659520440757,490.845422011462,497.8893010805185,219.184974021453,280.7584869732486,6.362289931596141,149.07340630868498,86.92440590884213
2023-12-14 14:00:00,90.16040301551786,261.13524902969107,20.84574288906676,314.33577443966374,419.1592321947989,148.10760766364564,321.20893850921453,148.32770704146947,77.66889427336787,188.85695949256905,5.13,109.38280375063512,149.42607210757052,92.9132663092405,148.34472204838653,264.79202150887875,233.66587897988512,15.487484528355097,490.4764457861189,503.0377092455775,222.14095180014647,281.2669457424761,6.498384467543127,146.6207397369447,84.38608045074388
